,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
25/03/1995,68,V µg/m³,5,V µg/m³,18,V µg/m³,14,V µg/m³,0.2,V mg/m³
26/03/1995,78,V µg/m³,2,V µg/m³,8,V µg/m³,13,V µg/m³,0.2,V mg/m³
27/03/1995,50,V µg/m³,8,V µg/m³,32,V µg/m³,33,V µg/m³,0.4,V mg/m³
28/03/1995,31,V µg/m³,30,V µg/m³,51,V µg/m³,43,V µg/m³,0.6,V mg/m³
29/03/1995,43,V µg/m³,26,V µg/m³,47,V µg/m³,48,V µg/m³,0.6,V mg/m³
30/03/1995,37,V µg/m³,24,V µg/m³,47,V µg/m³,44,V µg/m³,0.4,V mg/m³
31/03/1995,41,V µg/m³,13,V µg/m³,41,V µg/m³,33,V µg/m³,0.4,V mg/m³
01/04/1995,42,V µg/m³,7,V µg/m³,22,V µg/m³,25,V µg/m³,0.3,V mg/m³
02/04/1995,58,V µg/m³,3,V µg/m³,14,V µg/m³,22,V µg/m³,0.2,V mg/m³
03/04/1995,59,V µg/m³,12,V µg/m³,35,V µg/m³,29,V µg/m³,0.2,V mg/m³
04/04/1995,38,V µg/m³,18,V µg/m³,49,V µg/m³,33,V µg/m³,0.5,V mg/m³
05/04/1995,44,V µg/m³,15,V µg/m³,45,V µg/m³,32,V µg/m³,0.6,V mg/m³
06/04/1995,43,V µg/m³,18,V µg/m³,41,V µg/m³,24,V µg/m³,0.5,V mg/m³
07/04/1995,59,V µg/m³,8,V µg/m³,27,V µg/m³,11,V µg/m³,0.8,V mg/m³
08/04/1995,40,V µg/m³,15,V µg/m³,46,V µg/m³,38,V µg/m³,0.8,V mg/m³
09/04/1995,39,V µg/m³,7,V µg/m³,36,V µg/m³,43,V µg/m³,0.4,V mg/m³
10/04/1995,43,V µg/m³,15,V µg/m³,42,V µg/m³,28,V µg/m³,0.3,V mg/m³
